[RUN] id=20260213_230032 epochs=20 emb_dim=512 verif_interval=5000
[RUN] train_log_interval=1000 num_classes=85742
[RUN] train_log=logs/train/train_20260213_230032.log test_log=logs/test/test_20260213_230032.log
[RUN] torchao_int8=True
step=309000 epoch=11 loss=10.6824 acc=0.965008 lr=0.00027
step=310000 epoch=11 loss=10.6829 acc=0.964984 lr=0.00027
step=311000 epoch=11 loss=10.6891 acc=0.964979 lr=0.00027
step=312000 epoch=11 loss=10.6967 acc=0.964871 lr=0.00027
step=313000 epoch=11 loss=10.6995 acc=0.964824 lr=0.00027
step=314000 epoch=11 loss=10.7038 acc=0.964759 lr=0.00027
step=315000 epoch=11 loss=10.7037 acc=0.964739 lr=0.00027
step=316000 epoch=11 loss=10.7058 acc=0.964734 lr=0.00027
step=317000 epoch=11 loss=10.7101 acc=0.964676 lr=0.00027
step=318000 epoch=11 loss=10.7130 acc=0.964686 lr=0.00027
step=319000 epoch=11 loss=10.7173 acc=0.964645 lr=0.00027
step=320000 epoch=11 loss=10.7213 acc=0.964596 lr=0.00027
step=321000 epoch=11 loss=10.7279 acc=0.964555 lr=0.00027
step=322000 epoch=11 loss=10.7314 acc=0.964556 lr=0.00027
step=323000 epoch=11 loss=10.7338 acc=0.964515 lr=0.00027
step=324000 epoch=11 loss=10.7362 acc=0.964464 lr=0.00027
step=325000 epoch=11 loss=10.7382 acc=0.964454 lr=0.00027
step=326000 epoch=11 loss=10.7419 acc=0.964413 lr=0.00027
step=327000 epoch=11 loss=10.7438 acc=0.964410 lr=0.00027
step=328000 epoch=11 loss=10.7473 acc=0.964378 lr=0.00027
step=329000 epoch=11 loss=10.7512 acc=0.964334 lr=0.00027
step=330000 epoch=11 loss=10.7523 acc=0.964311 lr=0.00027
step=331000 epoch=11 loss=10.7548 acc=0.964289 lr=0.00027
step=332000 epoch=11 loss=10.7573 acc=0.964257 lr=0.00027
step=333000 epoch=11 loss=10.7597 acc=0.964234 lr=0.00027
epoch=11 train_loss=10.7596 train_acc=0.964230 epoch_time=2841.3s ETA=07:06:11
step=334000 epoch=12 loss=10.4526 acc=0.966786 lr=0.00027
step=335000 epoch=12 loss=10.4554 acc=0.966367 lr=0.00027
step=336000 epoch=12 loss=10.4613 acc=0.966613 lr=0.00027
step=337000 epoch=12 loss=10.4557 acc=0.966546 lr=0.00027
step=338000 epoch=12 loss=10.4731 acc=0.966306 lr=0.00027
step=339000 epoch=12 loss=10.4814 acc=0.966238 lr=0.00027
step=340000 epoch=12 loss=10.4902 acc=0.966221 lr=0.00027
step=341000 epoch=12 loss=10.4992 acc=0.966254 lr=0.00027
step=342000 epoch=12 loss=10.5078 acc=0.966165 lr=0.00027
step=343000 epoch=12 loss=10.5146 acc=0.966145 lr=0.00027
step=344000 epoch=12 loss=10.5247 acc=0.966081 lr=0.00027
step=345000 epoch=12 loss=10.5349 acc=0.966040 lr=0.00027
step=346000 epoch=12 loss=10.5431 acc=0.965984 lr=0.00027
step=347000 epoch=12 loss=10.5539 acc=0.965875 lr=0.00027
step=348000 epoch=12 loss=10.5616 acc=0.965827 lr=0.00027
step=349000 epoch=12 loss=10.5732 acc=0.965730 lr=0.00027
step=350000 epoch=12 loss=10.5792 acc=0.965693 lr=0.00027
step=351000 epoch=12 loss=10.5886 acc=0.965596 lr=0.00027
step=352000 epoch=12 loss=10.5965 acc=0.965535 lr=0.00027
step=353000 epoch=12 loss=10.6029 acc=0.965453 lr=0.00027
step=354000 epoch=12 loss=10.6100 acc=0.965379 lr=0.00027
step=355000 epoch=12 loss=10.6167 acc=0.965323 lr=0.00027
step=356000 epoch=12 loss=10.6224 acc=0.965257 lr=0.00027
step=357000 epoch=12 loss=10.6273 acc=0.965245 lr=0.00027
step=358000 epoch=12 loss=10.6322 acc=0.965214 lr=0.00027
step=359000 epoch=12 loss=10.6377 acc=0.965171 lr=0.00027
step=360000 epoch=12 loss=10.6440 acc=0.965113 lr=0.00027
step=361000 epoch=12 loss=10.6492 acc=0.965074 lr=0.00027
step=362000 epoch=12 loss=10.6551 acc=0.965006 lr=0.00027
step=363000 epoch=12 loss=10.6597 acc=0.964953 lr=0.00027
epoch=12 train_loss=10.6627 train_acc=0.964943 epoch_time=2842.0s ETA=06:18:56
step=364000 epoch=13 loss=10.4512 acc=0.966420 lr=0.00027
step=365000 epoch=13 loss=10.3618 acc=0.966993 lr=0.00027
step=366000 epoch=13 loss=10.3993 acc=0.966909 lr=0.00027
step=367000 epoch=13 loss=10.4068 acc=0.966867 lr=0.00027
